electeur	auteur	vote	version
hubscheragnes	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
collinannabelle	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
christophepavlides	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
elodieeifler	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
antoineamarilli	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
louiseberaudlefranc	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
julianbh	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
christofschoch	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
thomaslamarche	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
nicolaspetitdemange	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
olivierdessombz	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
jeanpierregeorge	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
jeremiedetrey	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
arramyleroux	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
villoing	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
estellemunoz	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
guillainpotron	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
jeanfrancoislutz	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
hugol	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
briec	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
yannserot	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
laurepecquerie	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
sophiedf	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
frederiqueflamerie	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
clairelemercier	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
maxb	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
juriconnexion	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
hendelmartin	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
clairesaulou	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
baselopresse	consortiumcouperin	-1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
alainmarois	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
quintardmichel	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
anthoinebourgeois	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
godefroybeauvallet	consortiumcouperin	0	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
isabellegouat	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
estelle	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
ieleuche	consortiumcouperin	1	pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte
