version	auteur	electeur	vote
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	estelle	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	ieleuche	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	ralphmatthes	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	heloisegazeau	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	deagemarie	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	cedrictemple	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	pascalelalot	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	bealjulien	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	cbernault	0
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	favreguillaume	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	federationnationaledelapressedinformationspecialisee	-1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	ericdaspet	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	gregschwe	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	magariel	1
pour-une-obligation-de-depot-des-publications-scientifiques-dans-une-archive-ouverte	consortiumcouperin	bibliophile	-1
